year,site,sex,winglength,temp
1996,2,f,24.02,-1.7558
1996,2,f,23.06,-1.7558
1996,2,f,23.07,-1.7558
1996,2,f,25.6,-1.7558
1996,2,f,24.07,-1.7558
1996,2,f,24.93,-1.7558
1996,2,f,24.19,-1.7558
1996,2,f,25.4,-1.7558
1996,2,f,22.87,-1.7558
1996,2,f,22.5,-1.7558
1996,2,f,23.32,-1.7558
1996,2,f,23.75,-1.7558
1996,2,f,22.69,-1.7558
1996,2,f,21.25,-1.7558
1996,2,f,22.18,-1.7558
1996,2,f,21.98,-1.7558
1996,2,f,23.11,-1.7558
1996,2,f,23.37,-1.7558
1996,2,f,22.95,-1.7558
1996,2,f,24.54,-1.7558
1996,2,f,23.73,-1.7558
1996,2,f,23.92,-1.7558
1996,2,m,22.48,-1.7558
1996,2,m,23.15,-1.7558
1996,2,m,22.92,-1.7558
1996,2,m,20.78,-1.7558
1996,2,m,24.13,-1.7558
1996,2,m,22.11,-1.7558
1996,2,m,23.05,-1.7558
1996,2,m,22.5,-1.7558
1996,2,m,23.2,-1.7558
1996,2,m,22.62,-1.7558
1996,2,m,21.35,-1.7558
1996,2,m,22.9,-1.7558
1996,2,m,23.1,-1.7558
1996,2,m,22.66,-1.7558
1996,3,f,25.32,-1.7558
1996,3,f,23.27,-1.7558
1996,3,m,22.37,-1.7558
1996,3,m,21.9,-1.7558
1996,3,m,23.95,-1.7558
1996,3,m,22.5,-1.7558
1996,3,m,22.47,-1.7558
1996,4,f,23.9,-1.7558
1996,4,m,21.5,-1.7558
1996,4,m,23.01,-1.7558
1996,4,m,22.66,-1.7558
1996,4,m,22.65,-1.7558
1996,4,m,23.4,-1.7558
1996,4,m,24.28,-1.7558
1996,4,m,22.75,-1.7558
1996,4,m,24.47,-1.7558
1996,5,f,24,-1.7558
1996,5,f,23.33,-1.7558
1996,5,f,23.85,-1.7558
1996,5,m,22.07,-1.7558
1996,5,m,22.17,-1.7558
1996,5,m,21.92,-1.7558
1996,5,m,23.79,-1.7558
1996,5,m,23.27,-1.7558
1996,5,m,24.26,-1.7558
1996,5,m,24.66,-1.7558
1996,5,m,24.57,-1.7558
1996,5,m,23.31,-1.7558
